ID,SalesOrder#,Billing Dt,Bookings Amount,Bookings Quantity,Material #,Deal Type,Product Type,Reseller #,End Cust #,Contract Start,Contract End,BOARD_GEO,BOARD_PROD_FAMILY,First Year Bkg Amt Commissionable,AccountID
5740,539219,2018-06-22 00:00:00.000,6000,1,PAY-TERM-FEE,Renewal,MNT,109034,109034,2018-04-13 00:00:00.000,2018-05-13 00:00:00.000,Americas,Service Desk,6000,0011300001uiL1oAAE
1915,537426,2018-06-08 00:00:00.000,378,1,S-PWS-LATERNWL-C,Renewal,MNT,3856,91042,2018-06-07 00:00:00.000,2018-06-08 00:00:00.000,Americas,PROTECT,378,0011300001k8afrAAA
1273,433828,2015-04-14 00:00:00.000,396,1200,S-SCUPGTLSS-C-R,Renewal,SUB,72874,71688,2018-04-11 00:00:00.000,2018-05-11 00:00:00.000,Americas,Shavlik Patch,0,
52,523614,2018-03-01 00:00:00.000,44.8,280,HLDMT0001,Renewal,MNT,127768,127768,2018-05-28 00:00:00.000,2018-06-30 00:00:00.000,Americas,HT UEM,44.8,0011300001uiPGoAAM
53,523614,2018-03-01 00:00:00.000,407.95,995,HLRMT0001,Renewal,MNT,127768,127768,2018-05-28 00:00:00.000,2018-06-30 00:00:00.000,Americas,HT UEM,407.95,0011300001uiPGoAAM
5408,532192,2018-04-25 00:00:00.000,650,1,GLDRI0002,Renewal,MNT,114093,114093,2018-04-06 00:00:00.000,2018-05-05 00:00:00.000,Americas,Goldmine,650,0011300001uiIRBAA2
5284,532177,2018-04-25 00:00:00.000,1500,1,GLDRI0002,Renewal,MNT,129093,129093,2018-04-26 00:00:00.000,2018-05-25 00:00:00.000,Americas,Goldmine,1500,0011300001uiIQJAA2
8136,60053059,2018-05-29 00:00:00.000,-124.06,-1,S-PWS-LATERNWL-C,Renewal,MNT,41597,75286,2018-05-24 00:00:00.000,2018-05-24 00:00:00.000,Americas,PROTECT,-124.06,001a000001NII9TAAX
8076,60053033,2018-05-23 00:00:00.000,-450,-1,GLDRI0002,Renewal,MNT,109712,114472,2018-05-14 00:00:00.000,2018-06-13 00:00:00.000,Americas,Goldmine,-450,0011300001uiIWoAAM
4166,534818,2018-05-18 00:00:00.000,125.29,1,S-PWS-LATERNWL-C,Renewal,MNT,105124,75485,2018-05-18 00:00:00.000,2018-06-17 00:00:00.000,EMEA,PROTECT,125.29,001a000001NIKLvAAP
4102,534789,2018-05-17 00:00:00.000,1118.88,1,S-PWS-LATERNWL-C,Renewal,MNT,41597,90710,2018-05-17 00:00:00.000,2018-05-17 00:00:00.000,Americas,PROTECT,1118.88,001a000001NIL8vAAH
2413,533940,2018-05-10 00:00:00.000,603.22,1,GLDRI0002,Renewal,MNT,111646,111646,2018-04-23 00:00:00.000,2018-05-22 00:00:00.000,Americas,Goldmine,603.22,0011300001uiIhHAAU
578,533032,2018-05-02 00:00:00.000,2415,3500,PRWSV0001,Renewal,SUB,109950,129223,2018-05-01 00:00:00.000,2018-06-29 00:00:00.000,China,HT Security,2415,0011300001uiNjCAAU
348,532925,2018-05-01 00:00:00.000,286.69,1,GLDRI0002,Renewal,MNT,129202,129202,2018-05-01 00:00:00.000,2018-05-31 00:00:00.000,Americas,Goldmine,286.69,0011300001uiL9HAAU
2952,537880,2018-06-13 00:00:00.000,268,1,S-PWS-LATERNWL-C,Renewal,MNT,3856,77025,2018-05-16 00:00:00.000,2018-06-15 00:00:00.000,Americas,PROTECT,268,001a000001QEiqWAAT
855,536929,2018-06-05 00:00:00.000,75.59999999999999,1,S-PWS-LATERNWL-C,Renewal,MNT,70599,105938,2018-06-05 00:00:00.000,2018-06-05 00:00:00.000,Americas,PROTECT,75.6,0011300001wFUcBAAW
